'sample interval','ABP'
'0.008 sec','mmHg'
150000,59.609
150001,59.296
150002,58.983
150003,58.670
150004,58.357
150005,58.201
150006,57.888
150007,57.731
150008,57.418
150009,57.106
150010,56.793
150011,56.480
150012,56.010
150013,55.697
150014,55.228
150015,54.915
150016,54.602
150017,54.133
150018,53.664
150019,53.038
150020,52.568
150021,52.099
150022,51.473
150023,51.004
150024,50.691
150025,50.378
150026,50.065
150027,50.065
150028,50.065
150029,50.065
150030,50.378
150031,50.847
150032,51.943
150033,53.820
150034,56.480
150035,59.765
150036,62.894
150037,65.711
150038,67.744
150039,69.622
150040,71.186
150041,73.064
150042,75.411
150043,77.914
150044,80.574
150045,83.077
150046,85.424
150047,87.301
150048,89.022
150049,90.274
150050,91.369
150051,92.151
150052,92.464
150053,92.621
150054,92.151
150055,91.369
150056,90.274
150057,88.709
150058,86.675
150059,84.485
150060,81.982
150061,79.478
150062,77.445
150063,75.724
150064,74.628
150065,73.690
150066,72.751
150067,71.656
150068,70.404
150069,69.153
150070,68.057
150071,67.119
150072,66.493
150073,65.867
150074,65.398
150075,64.928
150076,64.302
150077,63.677
150078,63.051
150079,62.581
150080,62.112
150081,61.799
150082,61.643
150083,61.486
150084,61.173
150085,61.017
150086,60.860
150087,60.704
150088,60.704
150089,60.548
150090,60.548
150091,60.548
150092,60.548
150093,60.548
150094,60.391
150095,60.235
150096,59.922
150097,59.609
150098,59.452
150099,59.139
150100,59.139
150101,59.139
150102,59.609
150103,60.235
150104,61.330
150105,62.738
150106,63.990
150107,65.085
150108,65.711
150109,66.180
150110,66.493
150111,66.806
150112,66.962
150113,67.275
150114,67.588
150115,67.744
150116,67.744
150117,67.744
150118,67.432
150119,67.119
150120,66.649
150121,66.023
150122,65.241
150123,64.302
150124,63.364
150125,62.738
150126,62.112
150127,61.799
150128,61.486
150129,61.173
150130,60.860
150131,60.235
150132,59.765
150133,59.296
150134,58.670
150135,58.044
150136,57.575
150137,57.106
150138,56.480
150139,56.010
150140,55.541
150141,55.072
150142,54.602
150143,54.289
150144,54.133
150145,53.820
150146,53.664
150147,53.351
150148,53.194
150149,52.881
150150,52.568
150151,52.256
150152,52.099
150153,51.786
150154,51.630
150155,51.317
150156,51.160
150157,51.004
150158,50.847
150159,50.691
150160,50.535
150161,50.378
150162,50.065
150163,49.909
150164,49.752
150165,49.439
150166,49.283
150167,49.126
150168,48.814
150169,48.657
150170,48.344
150171,48.188
150172,48.031
150173,47.875
150174,47.562
150175,47.562
150176,47.405
150177,47.405
150178,47.405
150179,47.405
150180,47.405
150181,47.249
150182,47.093
150183,46.936
150184,46.623
150185,46.310
150186,45.997
150187,45.684
150188,45.372
150189,45.215
150190,44.902
150191,44.746
150192,44.589
150193,44.433
150194,44.276
150195,43.963
150196,43.963
150197,44.276
150198,45.215
150199,47.249
150200,50.691
150201,55.228
150202,60.548
150203,65.398
150204,69.309
150205,71.812
150206,73.377
150207,74.941
150208,76.819
150209,79.791
150210,83.703
150211,88.709
150212,94.029
150213,99.192
150214,103.416
150215,106.701
150216,109.048
150217,110.769
150218,112.334
150219,113.898
150220,115.306
150221,116.089
150222,116.089
150223,115.463
150224,113.898
150225,111.864
150226,109.518
150227,107.014
150228,104.198
150229,100.913
150230,97.627
150231,94.342
150232,91.369
150233,89.022
150234,87.301
150235,86.049
150236,84.798
150237,83.546
150238,82.138
150239,80.730
150240,79.322
150241,78.070
150242,76.975
150243,76.036
150244,75.254
150245,74.628
150246,74.003
150247,73.220
150248,72.594
150249,71.969
150250,71.499
150251,70.873
150252,70.404
150253,69.935
150254,69.465
150255,68.996
150256,68.527
150257,68.057
150258,67.744
150259,67.588
150260,67.432
150261,67.275
150262,66.962
150263,66.649
150264,66.180
150265,65.554
150266,65.085
150267,64.459
150268,63.990
150269,63.520
150270,63.051
150271,62.581
150272,62.112
150273,61.486
150274,60.860
150275,60.391
150276,59.922
150277,59.609
150278,59.139
150279,58.827
150280,58.514
150281,58.201
150282,58.044
150283,57.888
150284,58.044
150285,58.827
150286,59.922
150287,61.799
150288,63.990
150289,66.180
150290,68.057
150291,69.465
150292,70.248
150293,71.030
150294,71.812
150295,72.751
150296,74.003
150297,75.411
150298,76.975
150299,78.383
150300,79.635
150301,80.730
150302,81.512
150303,81.982
150304,82.295
150305,82.138
150306,81.825
150307,81.043
150308,79.791
150309,78.383
150310,76.506
150311,74.628
150312,72.594
150313,70.873
150314,69.465
150315,68.527
150316,67.901
150317,67.432
150318,66.806
150319,65.867
150320,64.928
150321,63.990
150322,63.051
150323,62.269
150324,61.486
150325,60.860
150326,60.235
150327,59.765
150328,59.296
150329,58.670
150330,58.201
150331,57.731
150332,57.418
150333,57.106
150334,56.636
150335,56.323
150336,55.854
150337,55.541
150338,55.228
150339,55.072
150340,54.759
150341,54.602
150342,54.446
150343,54.289
150344,54.289
150345,54.133
150346,53.977
150347,53.664
150348,53.351
150349,52.881
150350,52.568
150351,52.256
150352,51.943
150353,51.630
150354,51.317
150355,51.004
150356,50.535
150357,50.065
150358,49.752
150359,49.283
150360,48.970
150361,48.657
150362,48.344
150363,48.031
150364,47.875
150365,47.875
150366,47.875
150367,48.344
150368,49.439
150369,51.160
150370,53.977
150371,57.731
150372,61.643
150373,65.241
150374,67.901
150375,70.091
150376,71.812
150377,73.533
150378,75.880
150379,78.696
150380,81.825
150381,85.267
150382,88.553
150383,91.525
150384,94.185
150385,96.375
150386,98.253
150387,99.661
150388,100.443
150389,100.756
150390,100.443
150391,99.661
150392,98.722
150393,97.314
150394,95.750
150395,93.872
150396,91.369
150397,88.553
150398,85.580
150399,82.764
150400,80.574
150401,78.853
150402,77.601
150403,76.506
150404,75.567
150405,74.315
150406,73.064
150407,71.812
150408,70.561
150409,69.465
150410,68.683
150411,67.901
150412,67.119
150413,66.493
150414,65.711
150415,64.928
150416,64.146
150417,63.520
150418,63.051
150419,62.581
150420,62.112
150421,61.799
150422,61.330
150423,60.860
150424,60.548
150425,60.235
150426,59.922
150427,59.609
150428,59.452
150429,59.296
150430,58.983
150431,58.827
150432,58.514
150433,58.201
150434,57.888
150435,57.418
150436,57.106
150437,56.949
150438,56.636
150439,56.323
150440,56.010
150441,55.541
150442,55.072
150443,54.446
150444,53.977
150445,53.351
150446,52.881
150447,52.412
150448,52.099
150449,51.943
150450,51.943
150451,51.786
150452,51.786
150453,51.943
150454,52.099
150455,52.568
150456,53.507
150457,55.228
150458,57.418
150459,60.235
150460,62.738
150461,65.085
150462,66.962
150463,68.527
150464,70.091
150465,71.812
150466,73.690
150467,75.880
150468,78.070
150469,79.948
150470,81.825
150471,83.233
150472,84.485
150473,85.424
150474,86.206
150475,86.675
150476,86.832
150477,86.519
150478,85.737
150479,84.798
150480,83.233
150481,81.512
150482,79.322
150483,77.132
150484,75.098
150485,73.377
150486,72.125
150487,71.186
150488,70.248
150489,69.622
150490,68.683
150491,67.588
150492,66.493
150493,65.554
150494,64.615
150495,64.146
150496,63.677
150497,63.051
150498,62.581
150499,62.112
150500,61.486
150501,61.017
150502,60.704
150503,60.391
150504,60.078
150505,59.922
150506,59.609
150507,59.296
150508,59.139
150509,58.983
150510,58.670
150511,58.670
150512,58.514
150513,58.357
150514,58.357
150515,58.201
150516,58.044
150517,58.044
150518,57.888
150519,57.731
150520,57.575
150521,57.262
150522,57.106
150523,56.793
150524,56.480
150525,56.167
150526,55.697
150527,55.385
150528,54.915
150529,54.602
150530,54.289
150531,53.977
150532,53.664
150533,53.351
150534,53.038
150535,52.881
150536,52.568
150537,52.568
150538,52.725
150539,53.507
150540,54.915
150541,57.106
150542,60.078
150543,63.364
150544,66.493
150545,69.153
150546,71.030
150547,72.594
150548,74.003
150549,75.567
150550,77.757
150551,80.417
150552,83.390
150553,86.206
150554,89.022
150555,91.525
150556,93.559
150557,95.280
150558,96.688
150559,97.627
150560,98.409
150561,98.879
150562,98.879
150563,98.409
150564,97.627
150565,96.219
150566,94.498
150567,92.308
150568,90.117
150569,87.614
150570,85.111
150571,83.077
150572,81.199
150573,79.635
150574,78.540
150575,77.445
150576,76.349
150577,75.254
150578,74.003
150579,72.907
150580,71.969
150581,71.030
150582,70.404
150583,69.622
150584,68.996
150585,68.370
150586,67.744
150587,67.119
150588,66.649
150589,66.180
150590,65.711
150591,65.241
150592,64.928
150593,64.772
150594,64.459
150595,64.146
150596,63.677
150597,63.364
150598,63.207
150599,62.894
150600,62.738
150601,62.581
150602,62.425
150603,62.112
150604,61.799
150605,61.486
150606,61.017
150607,60.548
150608,59.922
150609,59.452
150610,58.983
150611,58.357
150612,58.044
150613,57.575
150614,57.262
150615,56.793
150616,56.480
150617,56.167
150618,55.854
150619,55.541
150620,55.228
150621,55.072
150622,55.228
150623,55.697
150624,56.793
150625,58.514
150626,60.860
150627,63.677
150628,66.336
150629,68.683
150630,70.248
150631,71.343
150632,72.438
150633,73.533
150634,74.941
150635,76.819
150636,78.853
150637,81.199
150638,83.390
150639,85.267
150640,86.832
150641,88.240
150642,89.179
150643,89.804
150644,90.274
150645,90.430
150646,90.117
150647,89.335
150648,88.240
150649,86.832
150650,85.111
150651,83.077
150652,80.887
150653,78.853
150654,76.975
150655,75.567
150656,74.472
150657,73.690
150658,72.907
150659,72.125
150660,71.343
150661,70.248
150662,69.309
150663,68.370
150664,67.744
150665,67.119
150666,66.649
150667,66.023
150668,65.554
150669,64.928
150670,64.302
150671,63.833
150672,63.364
150673,63.051
150674,62.738
150675,62.269
150676,61.956
150677,61.486
150678,61.173
150679,61.017
150680,60.704
150681,60.548
150682,60.235
150683,60.078
150684,59.922
150685,59.765
150686,59.609
150687,59.296
150688,58.983
150689,58.514
150690,58.201
150691,57.731
150692,57.262
150693,56.793
150694,56.323
150695,55.854
150696,55.385
150697,54.915
150698,54.602
150699,54.289
150700,53.820
150701,53.351
150702,53.038
150703,52.568
150704,52.256
150705,52.099
150706,52.412
150707,53.351
150708,55.228
150709,58.044
150710,61.330
150711,64.615
150712,67.588
150713,69.778
150714,71.343
150715,72.594
150716,74.003
